Denominazione,Comune,Tipologia Punto di interesse,Didascalia,Posizione,Indirizzo,Civico,Telefono,Email,Sito Web,Latitudine,Longitudine
Testa del guerriero di Numana,ANCONA,Archeologia,Testa del guerriero di Numana,Museo Archeologico Nazionale delle Marche,Via Ferretti,6,071.202602,sba-mar.museoancona@beniculturali.it,www.archeomarche.it/musarch.htm,43.6234,13.5109
Uovo di struzzo piceno,ANCONA,Archeologia,Uovo di struzzo piceno dalla Necropoli di Pitino,Museo Archeologico Nazionale delle Marche,,6,071.202602,sba-mar@beniculturali.it,www.archeomarche.it,43.6234,13.5109
Insediamento dell’Età del Bronzo,ARCEVIA,Archeologia,Reperti rinvenuti presso l'abitato di Monte Croce Guardia,Museo Archeologico Statale di Arcevia. Chiostro di S. Francesco, Corso Mazzini,67,0731.9622,sba-mar@beniculturali.it,www.archeomarche.it,43.4993,12.9386
Fossato difensivo del Eneolotico,ARCEVIA,Archeologia,Reperti provenienti dal fossato di Conelle,Museo Archeologico Statale di Arcevia. Chiostro di S. Francesco, Corso Mazzini,67,0731.9622,,www.archeomarche.beniculturali.it,43.4993,12.9386
Giacimento Paleolitico di Ponte Pietra,ARCEVIA,Archeologia,Sala del museo dedicata al Giacimento Paleolitico di Ponte Pietra,Museo Archeologico Statale di Arcevia. Chiostro di S. Francesco, Corso Mazzini,67,0731.9622,,www.archeomarche.beniculturali.it,43.4993,12.9386
Ponti della Via Salaria,ASCOLI PICENO,Archeologia,Veduta del Ponte di Cecco ad Ascoli,,,,,protocollo@comune.ascolipiceno.it,www.comune.ascolipiceno.it,42.8533,13.5571
Mosaico policromo con erma bifronte,ASCOLI PICENO,Archeologia,Mosaico policromo con erma bifronte,Museo Archeologico Statale di Ascoli Piceno,Piazza Arringo,28,0736.255563,sba-mar@beniculturali.it,www.archeomarche.it,42.8537,13.5778
Ponte Mallio,CAGLI,Archeologia,Veduta del Ponte Mallio a Cagli,,Via Flaminia,,,municipio@comune.cagli.ps.it,www.comune.cagli.ps.it,43.5503,12.6504
Cisterne romane,FERMO,Archeologia,Cisterne Romane di Fermo,,Via degli Aceti,,0734.217140,,www.fermo.net,43.1612,13.7197
Riserva della Gola del Furlo - Passo del Furlo,ACQUALAGNA,Archeologia,Veduta del Passo del Furlo dalla galleria romana, nella parte Roma-Fano,strada statale SS 3,,0721.700041,riservafurlo@provincia.ps.it,www.riservagoladelfurlo.it,43.6217,12675
Iscrizione bilingue etrusco-latina di età augustea,PESARO,Archeologia,Iscrizione bilingue etrusco-latina, Museo Archeologico Oliveriano: palazzo Almerici,Via Mazza,97,0721.33344,,www.archeoprovincia.it,43.9099,12.9098
Globo di Matelica,MATELICA,Archeologia,Globo di Matelica,Museo Civico Archeologico di Matelica, Via San Francesco,,0737.787244,protocollo.comunematelica@pec.it,www.comune.matelica.mc.it,43.2579,13.0105
Tomba picena di Villa Clara,MATELICA,Archeologia,Scettro proveniente dalla tomba picena di Villa Clara,Museo Civico Archeologico, Via S. Francesco,,0737.787244,protocollo.comunematelica@pec.it,www.comune.matelica.mc.it,43.2579,13.0105
Corredi funerari della Necropoli gallica,ARCEVIA,Archeologia,Corredi funerari provenienti dalla Necropoli Gallica di Montefortino,Museo Archeologico Statale di Arcevia. Chiostro di S. Francesco, Corso Mazzini,67,0731.9622,sistemamuseale@provincia.ancona.it,www.musan.it,43.4993,12.9386
Mura urbiche in opus quadratum e Fonte Magna,OSIMO,Archeologia,Fonte Magna,,Via Fonte Magna,,,iat@osimoturismo.it,www.osimoturismo.it,43.4861,13.4901
Sassoferrato - Complesso di terrecotte architettoniche,ANCONA,Archeologia,Complesso di terrecotte architettoniche provenienti da Civitalba,Museo Archeologico Nazionale delle Marche, Via Ferretti,6,071.202602,,www.archeomarche.it,43.6234,13.5109
Necropoli picena  - Tomba della Principessa,NUMANA,Archeologia,Necropoli picena in Località dei Pini,Antiquarium Statale di Numana, Via La Fenice,4,071.9331162,info@turismonumana.it,www.turismonumana.it,43.5133,13.6212
Tempio-criptoportico augusteo della Salus Augusta,URBISAGLIA,Archeologia,Affreschi del Tempio-criptoportico augusteo della Salus Augusta,Parco archeologico di Urbs Salvia, Strada Provinciale 78 Picena,,0733.202942,comune@urbisaglia.sinp.net,www.comune.urbisaglia.mc.it,43.2009,13.3871
Piazza del Plebiscito (detta anche Piazza del Papa),ANCONA,Architettura e paesaggio,Piazza del Plebiscito meglio nota come Piazza del Papa,,Piazza del Plebiscito,s.n.c,,,,43.6196,13.5115
Piazza del Popolo,ASCOLI PICENO,Architettura e paesaggio,Piazza del Popolo:  il salotto cittadino di Ascoli Piceno,,Piazza del Popolo,s.n.c,0736/244975,turismo@comune.ascolipiceno.it,www.comune.ascolipiceno.it,42.8546,13.5752
Castello Pallotta,CALDAROLA,Architettura e paesaggio,Veduta esterna del Castello Pallotta,,via castello,2,0733.905467,,www.castellopallotta.com,43.1367,13.2242
Civitanova Alta,CIVITANOVA MARCHE,Architettura e paesaggio,Entrata al borgo di Civitanova Alta,,,22,0733.8221,turismo@comune.civitanova.mc.it,www.civitanovamarche.info,43.3046,13.7195
Cupra Alta,CUPRA MARITTIMA,Architettura e paesaggio,Panorama ammirabile da Cupra Alta,,Piazza della Libertà,11,0735.776700,iat@cupramarittima.org,www.comune.cupra-marittima.ap.it,43.0309,13.8589
Piazza del Popolo,FERMO,Architettura e paesaggio,Veduta di Piazza del Popolo,,Piazza del Popolo,s.n.c,,,,43.1613,13.7183
Fiorenzuola di Focara,PESARO,Architettura e paesaggio,Fiorenzuola di Focara,,Piazza del Popolo,s.n.c,0721.3871,,www.comune.pesaro.pu.it,43.97,12.8203
Grottammare alta,GROTTAMMARE,Architettura e paesaggio,Panorama di notte,,,,0735.7391,turismo@comune.grottammare.ap.it,www.comune.grottammare.ap.it,42.9916,13863
Palazzo Pianetti,JESI,Architettura e paesaggio,Prospetto interno e sculture ornamentali di Palazzo Pianetti,,Via XV Settembre,10,0731.538342,pinacoteca@comune.jesi.an.it,,43.5213,13.2422
Rocca Roveresca,MONDAVIO,Architettura e paesaggio,Rocca Roveresca di Mondavio,,Piazza Giovanni della Rovere,s.n.c.,0721.97102,,,43.6745,12.9684
Gabicce Monte,GABICCE MARE,Architettura e paesaggio,Gabicce monte,,Via C. Battisti,66,0541.953101,comune.gabicce@provincia.ps.it,www.comune.gabicce-mare.ps.it,43.9649,12.7564
Piazza del Popolo,PESARO,Architettura e paesaggio,Piazza del Popolo,,Piazza del Popolo,s.n.c.,,,www.turismopesaro.it,43.9098,12.9127
Piazza Leopardi,RECANATI,Architettura e paesaggio,Veduta notturna di Piazza Leopardi,,Piazza Leopardi,s.n.c.,,,,43.3993,13.5527
Rocca Ubaldinesca,SASSOCORVARO,Architettura e paesaggio,Rocca di Sassocorvaro al tramonto,,Piazza Battelli,s.n.c,0722.76177,,www.comune.sassocorvaro.pu.it,43.7808,12.4957
Rocca Roveresca,SENIGALLIA,Architettura e paesaggio,Rocca Roveresca di Senigallia,,Piazza del Duca,s.n.c,071.63258,iat.senigallia@provincia.ancona.it,,43715,13.2198
Rotonda a mare,SENIGALLIA,Architettura e paesaggio,Senigallia - Rotonda a mare con fuochi d'artificio,,Piazzale della Libertà,,071.60322 - 335.1776042,turismo@comune.senigallia.an.it,www.comune.senigallia.an.it,43.7164,13226
Sirolo,SIROLO,Architettura e paesaggio,Borgo,,Piazza G da Sirolo,1,071.9330572,info@turismosirolo.it,www.turismosirolo.it,43.5231,13.6189
Castello della Rancia,TOLENTINO,Architettura e paesaggio,Castello della Rancia,,Contrada Rancia,s.n.c.,348.0883989,,www.tolentinoturismo.it?,43.2309,13.3558
Torre di Palme,FERMO,Architettura e paesaggio,Veduta di Torre di Palme,,Via Mazzini,4,0734.2841,comune.fermo@emarche.it,www.fermo.net,43.1656,13.7242
La produzione di terrecotte a Barchi,BARCHI,Architettura e paesaggio,Produzione di terrecotte,Piazza Vittorio Emanuele,Piazza Vittorio Emanuele,7,0721.97152,,www.comune.barchi.pu.it,43.6713,12.9325
Grotte di Camerano,CAMERANO,Storie e leggende,Grotta Ricotti,Ufficio Iat, via Maratti,37,071.7304018,info@turismocamerano.it,www.turismocamerano.it,43.5302,13.5537
Il Colle dell'Infinito,RECANATI,Storie e leggende,Parco del Colle dell'Infinito,,via Leopardi,14,071.7573380,biglietteria@giacomoleopardi.it,www.giacomoleopardi.it,43.3982,13.5521
La Grotta della Sibilla,MONTEMONACO,Storie e leggende,Entrata della Grotta della Sibilla,,,,0737.972711,parco@sibillini.net,www.sibillini.net,42.9302,13.0877
Il fantasma di Paora,OFFAGNA,Storie e leggende,Offagna: storia e natura,Ufficio turistico di Offagna, via dell'Arengo,32,071.7107552,offagna@festemedievali.it,www.offagna.org,43.5271,13.4408
Grotte di Osimo,OSIMO,Storie e leggende,Grotte di Osimo,Ufficio Turismo, Piazza del Comune,1,071.7249253,turismo@comune.osimo.an.it,www.osimoturismo.it,43.4861,13.4824
L’amore sfortunato di Paolo e Francesca,GRADARA,Storie e leggende,Veduta notturna del Castello di Gradara,,P.za 5 Novembre,1,0541.964115,info@gradara.org,www.gradara.org,43.9416,12.7734
La storia di Piero e Sara,GENGA,Storie e leggende,Borgo antico:  il castello e la torre di Pierosara,Località Pierosara,,,0732.973014,info@turismo.comunedigenga.it,turismo.comunedigenga.it,43.4097,12.9717
Il celebre compositore Gaspare Spontini,MAIOLATI SPONTINI,Storie e leggende,Ritratto di Gaspare Spontini: opera di Louis Hersent,,Largo Pastori,1,0731.206888,,www.fondazionepergolesispontini.com,43.4753,13.1165
Acquaviva Picena - Sponsalia,ACQUAVIVA PICENA,Tradizioni,Città di Acquaviva Picena,,Via San Rocco,7,0375.764115,sponsalia@paliodelduca.it,www.paliodelduca.it,42.9448,13.8126
Amandola - Il Carnevale de li Paniccia',AMANDOLA,Tradizioni,Sfilata di carri allegorici del Carnevale de li Paniccia',,Via XX Settembre,9,0736.848706,proamadola@gmail.com,www.prolocoamandola.org,42.9792,13.3588
Amandola - Festa delle Canestrelle,AMANDOLA,Tradizioni,Festa delle Canestrelle ad Amandola,,Piazza Risorgimento,17,0736.84071,info@prolocoamandola.org,www.comune.amandola.fm.it,42.9809,13.3619
Carnevale di Ascoli,ASCOLI PICENO,Tradizioni,Carnevale ascolano in Piazza Arrigo,,Piazza Arringo,1,0736.244971,info@ilcarnevalediascoli.it,www.ilcarnevalediascoli.it,42.8554,13575
Servigliano - Torneo Cavalleresco Castel Clementino,SERVIGLIANO,Tradizioni,Torneo Cavalleresco Castel Clementino,,Piazza Roma,2,0734.750583,segreteria@torneocavalleresco.it,www.torneocavalleresco.it,43.0816,13.4931
Tolentino - Tolentino 815,TOLENTINO,Tradizioni,La Battaglia di Tolentino,,Via Nazionale,2,0733.960778,info@tolentino815.it,www.tolentino815.it,43.2098,13.2887
Giuoco dell’Oca,CAGLI,Tradizioni,La città di Cagli durante il Giuoco dell'Oca,,Via Marconi,5,0721.781646,info@giochistoricicagli.it,www.giochistoricicagli.it,43.5468,12.6485
La Turba,CANTIANO,Tradizioni,La Passione del Venerdà Santo,,Piazza Luceoli,1,0721.788321,,,43.4761,12.6273
Comune di Castelraimondo,CASTELRAIMONDO,Tradizioni,Infiorata ‘Corpus Domini’,,Piazza della Repubblica,12,0737.641724,comune@castelraimondo.sinp.net,www.comune.castelraimondo.mc.it/?page_id=42,43.2099,13.0577
Cingoli - Cingoli 1848,CINGOLI,Tradizioni,Città di Cingoli,,Via Pio VIII,38,389.1958927,info@cingoli1848.it,www.cingoli1848.it,43.3764,13.2018
Corridonia - Contasa della Margutta,CORRIDONIA,Tradizioni,Contasa della Margutta:  Corridonia,,Rampa dei Procaccini,46,0733.433307,contesadellamargutta@ibero.it,www.contesadellamargutta.jimdo.com,43.2491,13.5095
Infiorata di Corridonia,CORRIDONIA,Tradizioni,Locandina Infiorata del Corpus Domini - Corridonia 2013,,Piazza F. Corridoni,8,0733.439900,comune@corridonia.sinp.net,www.comune.corridonia.mc.it/,43.2505,13.5138
Fabriano - Palio di San Giovanni Battista,FABRIANO,Tradizioni,Veduta della Piazza del Comune di Fabriano,,Piazza Manin,10,0732.626848,info@fabrianopalio.it,www.fabrianopalio.it,43.3361,12.9047
Infiorata di Fabriano,FABRIANO,Tradizioni,Maestri infioratori all'opera,,Piazza Manin,10,0732.626848,info@fabrianopalio.it,www.infioratorifabriano.it/,43.3361,12.9047
Carnevale di Fano,FANO,Tradizioni,Carnevale di Fano,,Via S. Francesco d'Assisi,76,0721.8871,info@carnevaledifano.com,www.carnevaledifano.eu,43.8449,13.0169
Infiorata di Fermignano,FERMIGNANO,Tradizioni,"Piazza Garibaldi ""Infiorata"" di Fragarbo",,Via Ca' Gianfranco,s.n.c.,0722.332142,cultura@comune.fermignano.pu.it,www.comune.fermignano.pu.it/index.php?id=5188,43685,12645
Fermignano – XXVII Gran Premio del Biciclo Ottocentesco,FERMIGNANO,Tradizioni,Città di Fermignano,,Corso Bramante,,0722.330523,info@proloco-fermignano.it,www.proloco-fermignano.it,43.6762,12.6461
Carnevale di Fermo,PORTO SANT'ELPIDIO,Tradizioni,Il Re Carnevale alla consegna delle chiavi della città,,Via San Giovanni Bosco,26/a,0734.902107,info@fermomia.it,www.eventiculturali.org/pdf/carnevale_fermoscheda.pdf,43.2584,13.7563
Filottrano - Contesa dello Stivale,FILOTTRANO,Tradizioni,Contesa dello Stivale:  Filottrano,,Via Buozzi,1,071.7220968,societadellostivale@hotmail.it,comune.filottrano.an.it,43435,13.3512
I presepi viventi,GENGA,Tradizioni,I presepi viventi,Associazione Amici del Presepe, Via Roma,4,0732.641184,info@presepedigenga.it,www.presepedigenga.it,43.4306,12.9359
Presepe vivente di Grottammare,GROTTAMMARE,Tradizioni,Presepe Vivente - La Natività,,Via Marconi,50,0735.739242,cultura@comune.grottammare.ap.it,www.comunegrottammare.ap.it,42.9878,13.8689
Jesi - Palio di San Floriano,JESI,Tradizioni,Città di Jesi,,Via A.da Jesi,6,0731.56160,paliosanfloriano@aesinet.it,www.paliosanfloriano.it,43.5224,13.2456
Carnevale di Macerata,MACERATA,Tradizioni,Sfilata di carri allegorici del Carnevale di Macerata,,Piazza Libertà,3,0733.2561,municipio@comune.macerata.it,www.comune.macerata.it,43.8039,12.4413
Mogliano - Mogliano 1744,MOGLIANO,Tradizioni,Città di Mogliano,Vie del centro storico,,,0733.55777,promogliano@libero.it,www.promogliano.it,43186,13.4808
Mondavio - Caccia al Cinghiale,MONDAVIO,Tradizioni,Veduta della Rocca di Mondavio,,Piazza Matteotti,19,0721.97102,turismo@mondavioproloco.it,www.mondavioproloco.it,43.6739,12.9697
Montalto delle Marche - Rievocazione della Passione di Cristo,MONTALTO DELLE MARCHE,Tradizioni,Rievocazione della Passione di Cristo,,Piazza Umberto I,14,0736.828015,,,42991,13.6102
Montecassiano - Palio dei Terzieri,MONTECASSIANO,Tradizioni,Palio dei Terzieri:  Montecassiano ,,C.so D. Alighieri,2,0733.290483,paliodeiterzieri@tiscali.it,www.paliodeiterzieri.com,43.3637,13.4362
Infiorata di Montefiore dell’Aso,MONTEFIORE DELL'ASO,Tradizioni,Infiorata di Montefiore dell’Aso,,Piazza della Repubblica,2,0734.939019,info@comune.montefioredellaso.ap.it,www.comune.montefioredellaso.ap.it,43.0499,13.7502
Monterubbiano - Armata di Pentecoste Scià la Pica,MONTERUBBIANO,Tradizioni,Città di Monterubbiano,,Piazza Trento e Trieste,1,0734.257396,info@armatadipentecoste.it,www.armatadipentecoste.it,43.0853,13.7168
Infiorata di Monterubbiano,MONTERUBBIANO,Tradizioni,Infiorata di Monterubbiano,,Via Trento Trieste,1,0734.257396,turismomonterubbiano@libero.it,www.comune.monterubbiano.fm.it,43.0846,13.7198
