Comune,Provincia,Regione,Nome,Anno inserimento,Identificatore in OpenStreetMap,Longitudine,Latitudine
Bardonecchia,TORINO,Piemonte,Sabrina,2015,3700735141,6.7074675,45.0782614
Chieri,TORINO,Piemonte,,2016,1739777081,7.8243336,45.0117969
Chivasso,TORINO,Piemonte,,2010,966247815,7.8842796,45.1896861999999
Chivasso,TORINO,Piemonte,,2010,966248025,7.891146,45.1908053
Ivrea,TORINO,Piemonte,ABCinema d'Essai,2010,773637449,7.8797919,45.4664013
Ivrea,TORINO,Piemonte,Cinema Boaro,2012,1876474160,7.8792445,45.4671796
Moncalieri,TORINO,Piemonte,UCG Cinema,2012,262100274,7.708174,44.9762260999999
Pinerolo,TORINO,Piemonte,Cinema Hollywood,2015,3352525199,7.3096924,44.8858366999999
Pinerolo,TORINO,Piemonte,Cinema Italia,2013,2425831724,7.330467,44.8831788999999
Rivoli,TORINO,Piemonte,Cinema Teatro Borgonuovo,2013,1855973149,7.505139,45.0702847
Sestriere,TORINO,Piemonte,Cinema Fraiteve,2015,3721581842,6.8790824,44.9583694
Torino,TORINO,Piemonte,Cinecafé Ambrosio,2015,3274388861,7.6812669,45.0621409
Torino,TORINO,Piemonte,Cinema Eliseo,2013,2113383951,7.6500046,45.0650722
Torino,TORINO,Piemonte,Cinema Lux,2011,1350142517,7.6826574,45.0690361999999
Torino,TORINO,Piemonte,Cinema Romano,2011,1370040605,7.6867032,45.0696185999999
Torino,TORINO,Piemonte,Cineplex Massaua,2012,2049845183,7.6201045,45.0739414999999
Torino,TORINO,Piemonte,Classico,2015,3284942161,7.6944342,45.0661441999999
Torino,TORINO,Piemonte,Due Giardini,2011,735032355,7.6420215,45.0503896999999
Torino,TORINO,Piemonte,Greenwich Village,2015,248787330,7.6917134,45.0669867
Torino,TORINO,Piemonte,Maffei,2012,1467593787,7.683076,45.0597276
Torino,TORINO,Piemonte,Metropol,2012,1467593792,7.6828771,45.0597982
Torino,TORINO,Piemonte,Nazionale,2014,2791170550,7.6834351,45.0626637
Torino,TORINO,Piemonte,The Space Cinema,2014,2688303785,7.6683386,45.0878070999999
Torino,TORINO,Piemonte,UCI Cinemas Lingotto,2015,1172116311,7.6664412,45.0338769999999
Varallo,VERCELLI,Piemonte,Cinema Oratorio Sottoriva,2014,2627228401,8.2527384,45.814272
Vercelli,VERCELLI,Piemonte,Cinema Italia,2010,499620955,8.41666919999999,45.3236405999999
Bellinzago Novarese,NOVARA,Piemonte,Movie Planet,2013,2145291059,8.6409651,45.5539425999999
Novara,NOVARA,Piemonte,VIP,2015,2036115172,8.6105423,45.4447722999999
Alba,CUNEO,Piemonte,Cine4,2012,1749822805,8.0351209,44.6981645999999
Borgo San Dalmazzo,CUNEO,Piemonte,Cinelandia,2012,1967623229,7.5063594,44.3471724999999
Centallo,CUNEO,Piemonte,Lux,2012,1730573268,7.5852058,44.4985082999999
Cuneo,CUNEO,Piemonte,Lanteri,2012,1970779012,7.5468279,44.3877476999999
Asti,ASTI,Piemonte,Nuovo Splendor,2015,1470052046,8.1969253,44.898372
Alessandria,ALESSANDRIA,Piemonte,Cinema Teatro Alessandrino,2015,1891230225,8.615575,44.9122828
Alessandria,ALESSANDRIA,Piemonte,Cinema Teatro Macallé,2015,3626519732,8.6903898,44.9173560999999
Alessandria,ALESSANDRIA,Piemonte,Multisala Kristalli,2015,3640431757,8.6009144,44.9018412
Alessandria,ALESSANDRIA,Piemonte,UCI Cinemas,2015,3604599298,8.6981413,44.8857389
Ovada,ALESSANDRIA,Piemonte,Cinema Teatro Comunale,2012,1631132523,8.6434241,44.636715
Tortona,ALESSANDRIA,Piemonte,Megaplex Stardust,2012,1749595238,8.88095219999999,44.9065129
Valenza,ALESSANDRIA,Piemonte,Cineteatro Sociale,2012,1639017564,8.6443211,45.0132685
Aosta,AOSTA,Valle d'Aosta,Cinéma Théatre de la Ville,2013,1270415684,7.3199007,45.7394342999999
Ayas,AOSTA,Valle d'Aosta,Cinema Sant'Anna,2016,372793690,7.7262714,45.8315629
Cogne,AOSTA,Valle d'Aosta,Gran Paradiso,2012,1842637099,7.3532089,45.6096076999999
Courmayeur,AOSTA,Valle d'Aosta,,2014,3110756774,6.9699768,45.7915751999999
