Comune,Provincia,Categoria,Classificazione,Denominazione,CAP,Indirizzo,Gestore,Città,Località,Telefono,FAX,Cellulare,Indirizzo internet,Indirizzo di posta elettronica,Codice ISTAT,Numero struttura,Longitudine,Latitudine,,,,,
Acqualagna,PESARO E URBINO,ALBERGHI,Alberghi 2 stelle,'ALBERGO MEUBLE'' SHINE',61041,via aldo gamba 54,RAFFAELE MANGANI,ACQUALAGNA,ACQUALAGNA,721797487,721796434,3347658235,,,41001,13137,12675,43.6244,,,,,
Acqualagna,PESARO E URBINO,TURISMO RURALE,Country House,'CA'' GARAVANO',61041,strada Frontino 21,ALESSANDRO URBINI,ACQUALAGNA,ACQUALAGNA,,,339 5422186,www.cagaravano.com,urbini.alessandro@alice.it,41001,13889,12.5792,43.6195,,,,,
Acqualagna,PESARO E URBINO,ALBERGHI,Alberghi 2 stelle,'LEON D''ORO',61041,Via Flaminia 213,Pasquale Calafiore,ACQUALAGNA,ACQUALAGNA,,,,,,41001,18615,,,,,,,
Acqualagna,PESARO E URBINO,ALLOGGI AGRITURISTICI,Agriturismi,AGRITURISMO CASTELLAGO,61041,strada Castellaro 18,STELLINA COSTANTINI,ACQUALAGNA,ACQUALAGNA,721799090,,3331026667,,castellago@virgilio.it,41001,13466,12.6386,43.6258,,,,,
Acqualagna,PESARO E URBINO,ALBERGHI,Alberghi 3 stelle,ALBERGO ANTICO FURLO,61041,via Flaminia 66,ALBERTO MELAGRANA,ACQUALAGNA,ACQUALAGNA,721700096,721700117,,www.anticofurlo.it,info@anticofurlo.it,41001,13722,12.6729,43.6185,,,,,
Acqualagna,PESARO E URBINO,ALBERGHI,Alberghi 1 stella,ALBERGO DOMUS MARIAE,61041,viale Ezio Scaglioni 17,LORENZO NASPINI,ACQUALAGNA,ACQUALAGNA,0721 700038,,366 4253528,,giulianaspini@gmail.com,41001,17989,12.6916,43.6404,,,,,
Acqualagna,PESARO E URBINO,BED & BREAKFAST,BedBreakfast,B&B CRISTINI CRISTINA,61041,strada frontino 23,CRISTINA CRISTINI,ACQUALAGNA,ACQUALAGNA,721708196,,,,cri.cristini@alice.it,41001,12735,12588,43.6169,,,,,
Acqualagna,PESARO E URBINO,BED & BREAKFAST,BedBreakfast,B&B MARTELLONI CESARE,61041,via pianacce 67,CESARE MARTELLONI,ACQUALAGNA,ACQUALAGNA,721700016,,3348144997,www.lalocandadellabbazia.it,info@lalocandadellabbazia.it,41001,12854,12.6982,43.6365,,,,,
Acqualagna,PESARO E URBINO,ALBERGHI,Alberghi 2 stelle,BIRRA AL POZZO,61041,via Pianacce 12,MARCO MANCINELLI,ACQUALAGNA,ACQUALAGNA,721700084,0721 700084,,www.birraalpozzo.it,info@birraalpozzo.it,41001,11321,12.6993,43.6376,,,,,
Acqualagna,PESARO E URBINO,ALLOGGI AGRITURISTICI,Agriturismi,DEL FRONTINO,61041,strada frontino 23,CRISTINA CRISTINI,ACQUALAGNA,ACQUALAGNA,721708196,,,,,41001,1615,12588,43.6169,,,,,
Acqualagna,PESARO E URBINO,ALTRI ALLOGGI PRIVATI,Appartamenti Ammobiliati uso turistico,GORGOLINI ALESSANDRO,61041,Via San Gregorio 9,Alessandro Gorgolini,ACQUALAGNA,ACQUALAGNA,,,3284853895,,ale.gorgolini@gmail.com,41001,18777,,,,,,,
Acqualagna,PESARO E URBINO,ALTRI ALLOGGI PRIVATI,Appartamenti Ammobiliati uso turistico,IL CONIO DI DI GIOVANNI FEDERICO,61041,strada pietralatra 1,FEDERICO DI GIOVANNI,ACQUALAGNA,ACQUALAGNA,,,,,,41001,14685,12.6925,43.6417,,,,,
Acqualagna,PESARO E URBINO,ALBERGHI,Alberghi 3 stelle,LA GINESTRA,61041,via Furlo 17,ELIANA CANCELLIERI,ACQUALAGNA,ACQUALAGNA,721797033,721700040,,www.ginestrafurlo.it,info@ginestrafurlo.it,41001,11320,12.7129,43637,,,,,
Acqualagna,PESARO E URBINO,ALTRI ALLOGGI PRIVATI,Appartamenti Ammobiliati uso turistico,STAGNOZZI STEFANIA,61041,Via Candigliano  5,Stefania Stagnozzi,ACQUALAGNA,ACQUALAGNA,721797302,,,,gigliovitto@libero.it,41001,18776,,,,,,,
Acqualagna,PESARO E URBINO,ALTRI ALLOGGI PRIVATI,Appartamenti Ammobiliati uso turistico,STROPPA GIUSEPPE,61041,strada San Gregorio 12,GIUSEPPE STROPPA,ACQUALAGNA,ACQUALAGNA,3296220007,,329 2935195,http://lapanoramicadastroppa.webstarts.com,stroppag@libero.it,41001,16918,,,,,,,
Acqualagna,PESARO E URBINO,ALTRI ALLOGGI PRIVATI,Appartamenti Ammobiliati uso turistico,TORRE COLOMBARA DI FRONTINO,61041,STRADA FRONTINO 24,B,SANDRO LUCCARDI,ACQUALAGNA,ACQUALAGNA,,3283919960,,luccardi.sandro@gmail.com,41001,18335,,,,,,,
Acqualagna,PESARO E URBINO,BED & BREAKFAST,BedBreakfast,B&B AQUILEGIA,61041,via Furlo 12,FRANCESCA BRUTTI,ACQUALAGNA,Furlo,0721 1836638,,340 3993066,www.aquilegiabeb.com,info@aquilegiabeb.com,41001,18349,,,,,,,
Acqualagna,PESARO E URBINO,ALLOGGI IN AFFITTO,Case ed Appartamenti per Vacanze,MARCHEHOLIDAY - CASALE DEGLI ULIVI,61041,strada San Gregorio 1,ENRICO GRASSI,ACQUALAGNA,loc.Ca Donnino,0721 1836666,0721 1830153,338 4083136,www.marcheholiday.it/ulivi,info@marcheholiday.it,41001,17190,12674,43.63,,,,,
Acqualagna,PESARO E URBINO,ALLOGGI AGRITURISTICI,Agriturismi,AGRITURISMO I CONTI,61041,via Pieve del Colle 11 b,PIERPAOLO DURANTI,ACQUALAGNA,pieve del colle,722318223,,328 5399473; 349 5796001,www.agriturismoiconti.it,info@agriturismoiconti.it,41001,16277,,,,,,,
Acqualagna,PESARO E URBINO,AREE DI SOSTA (PLEIN AIR),Aree di sosta di eccellenza,AREA SOSTA CAMPER PARCO LE QUERCE,61041,via Pianacce 1,GIORGIA MORREALE,ACQUALAGNA,RISERVA NATURALE STATALE GOLA DEL FURLO,,,3664198321; 3391502473,parcodelfurlo.it,info@parcodelfurlo.it,41001,17485,12.7033,43.6386,,,,,
Acqualagna,PESARO E URBINO,ALTRI ALLOGGI PRIVATI,Appartamenti Ammobiliati uso turistico,BACCHIOCCHI MARIA ELISA,61041,via San Gregorio 17,MARIA ELISA BACCHIOCCHI,ACQUALAGNA,,,,3382066683,,remigio.battistelli@gmail.com,41001,17643,,,,,,,
Acqualagna,PESARO E URBINO,ALTRI ALLOGGI PRIVATI,Appartamenti Ammobiliati uso turistico,BETTI VINCENZO,61041,via Pole 69,VINCENZO BETTI,ACQUALAGNA,,721797073,,,,,41001,16998,,,,,,,
Acqualagna,PESARO E URBINO,ALLOGGI AGRITURISTICI,Agriturismi,LA COLOMBARA,61041,strada Frontino 24,IVANA CANDIRACCI,ACQUALAGNA,,,,3396484971,,,41001,16770,,,,,,,
Acqualagna,PESARO E URBINO,ALTRI ALLOGGI PRIVATI,Appartamenti Ammobiliati uso turistico,MARCHETTI LORENZA,61041,via Fossato 37,b,LORENZA MARCHETTI,ACQUALAGNA,,,3351290387,,thomas.clementi@hotmail.it,41001,17644,,,,,,,
Acqualagna,PESARO E URBINO,ALTRI ALLOGGI PRIVATI,Appartamenti Ammobiliati uso turistico,SERAFINI GIORGIA,61041,,GIORGIA SERAFINI,ACQUALAGNA,,,,,,,41001,16978,,,,,,,
