Comune,Provincia,Regione,Nome,Anno inserimento,OpenStreetMap ID,Longitudine,Latitudine
Chieti,CHIETI,Abruzzo,Università degli Studi di Chieti G. D'Annunzio,2014,111980293,14.151034,42.367757
Pavia,PAVIA,Lombardia,Università di Pavia - Facoltà di Botanica,2011,207559055,9.163501,45.185359
Siena,SIENA,Toscana,Facoltà di Lettere e Filosofia,2012,215646877,11.33834,43.316772
Torino,TORINO,Piemonte,Università degli Studi di Torino,2011,227835422,7.681807,45.052051
Roma,ROMA,Lazio,RomaTre - Facoltà di Scienze Della Formazione,2011,246569536,12.479263,41.863618
Perugia,PERUGIA,Umbria,Facoltà di Ingegneria,2011,247280642,12.355331,43.118905
Milano,MILANO,Lombardia,Facoltà di Agraria,2008,249554065,9.227541,45.476576
Milano,MILANO,Lombardia,Facoltà di Medicina Veterinaria,2009,249554066,9.229086,45.476594
San Giovanni Valdarno,AREZZO,Toscana,Scuola infermieri,2012,254063069,11.529634,43.56251
Cesena,FORLÌ,Emilia-Romagna,Facoltà di Architettura,2010,254318199,12.239921,44.144745
Cesena,FORLÌ,Emilia-Romagna,Facoltà di Architettura,2010,254318200,12.241725,44.145336
Cesena,FORLÌ,Emilia-Romagna,Ingegneria e Scienze Informatiche,2015,254443124,12.242977,44.139838
Roma,ROMA,Lazio,Università Sapienza di Roma - Facoltà di Informatica,2008,261736886,12.497118,41.91422
Roma,ROMA,Lazio,Università La Sapienza sede distaccata Architettura,2012,261852636,12.475737,41.904021
Trieste,TRIESTE,Friuli-Venezia Giulia,Università degli Studi di Trieste - Scuola Superiore,2015,268201077,13.774677,45.654764
Pisa,PISA,Toscana,Chimica farmaceutica,2008,278236100,10.388763,43.71658
Gorizia,GORIZIA,Friuli-Venezia Giulia,Università degli studi di Udine,2008,296146275,13.61847,45.943317
Gorizia,GORIZIA,Friuli-Venezia Giulia,Università degli studi di Trieste,2009,296148249,13.630903,45.939804
Empoli,FIRENZE,Toscana,Urbanistica e Pianificazione,2013,304213834,10.948159,43.718035
Milano,MILANO,Lombardia,Università degli Studi di Milano,2009,304665165,9.186723,45.461191
Roma,ROMA,Lazio,Tor Vergata facoltà di Scienze,2015,309801932,12.605796,41.851977
Pisa,PISA,Toscana,Facoltà di Lettere,2009,339093139,10.397015,43.717666
Bologna,BOLOGNA,Emilia-Romagna,Ex Chiesa di Santa Lucia,2015,343487022,11.348015,44.489702
Viterbo,VITERBO,Lazio,Università degli Studi della Tuscia,2009,366184573,12.112848,42.413865
Viterbo,VITERBO,Lazio,Università degli Studi della Tuscia,2010,366528953,12.092795,42.427293
Camerino,MACERATA,Marche,Università degli studi di Camerino,2009,370531566,13.068913,43.135755
Bologna,BOLOGNA,Emilia-Romagna,Aula Magna di Santa Lucia,2015,411366244,11.347737,44.489544
Bologna,BOLOGNA,Emilia-Romagna,Aula Absidale di Santa Lucia,2009,411366245,11.348444,44.489913
Cagliari,CAGLIARI,Sardegna,Centro Linguistico di Ateneo,2011,411494020,9.113711,39.227573
Garniga,TRENTO,Trentino-Alto Adige,Fondazione Mach - Centro di Ecologia Alpina,2009,454224091,11.053926,46.014425
Pavia,PAVIA,Lombardia,Polo Scientifico Università di Pavia,2015,479748388,9.137625,45.202579
Genova,GENOVA,Liguria,Facoltà di Lingua e Letterature straniere,2015,496999018,8.927712,44.413299
Macerata,MACERATA,Marche,Dipartimento di Scienze dell''educazione,2013,518992253,13.473522,43.287322
Ravenna,RAVENNA,Emilia-Romagna,Università di Bologna - Agraria,2009,549766378,12.196974,44.435324
Ravenna,RAVENNA,Emilia-Romagna,Università di Bologna - Scienze Ambientali,2015,549766379,12.19632,44.434283
Macerata,MACERATA,Marche,Residenza Universitaria Bartolo da Sassoferrato,2013,560716173,13.45397,43.29667
Pavia,PAVIA,Lombardia,Università di Pavia,2014,567450376,9.156871,45.187112
Ravenna,RAVENNA,Emilia-Romagna,Università Degli Studi di Bologna,2009,597325755,12.202049,44.417221
Fermo,FERMO,Marche,Università Politecnica delle Marche - Facoltà,2012,615077990,13.722244,43.15887
Fermo,FERMO,Marche,Università degli Studi di Macerata,2012,615077992,13.721927,43.159116
Verano Brianza,MONZA E BRIANZA,Lombardia,Università della Brianza,2010,623415445,9.221888,45.676936
Viterbo,VITERBO,Lazio,Università degli Studi della Tuscia,2010,675608652,12.102221,42.412798
Pavia,PAVIA,Lombardia,Istituto di Zoologia Lazzaro Spallanzani,2011,681739675,9.150974,45.188517
Pavia,PAVIA,Lombardia,Dipartimento di Scienze Fisiologiche e Farmacologia,2010,681739726,9.150105,45.187601
Pavia,PAVIA,Lombardia,Palazzo del Mayno,2010,686513694,9.158028,45.185993
Pavia,PAVIA,Lombardia,Divisione programmazione e gestione acquisti,2010,686513697,9.158397,45.186144
Pavia,PAVIA,Lombardia,Facoltà di Scienze Politiche,2010,687187554,9.157767,45.186987
Arezzo,AREZZO,Toscana,Facoltà di Ingegneria,2010,731482592,11.876265,43.465321
Arezzo,AREZZO,Toscana,Facoltà di Economia,2010,731482593,11.87656,43.465257
Bologna,BOLOGNA,Emilia-Romagna,Università di Bologna - Dipartimento di Arti Visive,2013,762208519,11.355293,44.488344
Bari,BARI,Puglia,Politecnico di Bari,2010,849689760,16.883233,41.111384
Reggio Emilia,REGGIO EMILIA,Emilia-Romagna,Facoltà di Ingegneria,2013,849800035,10.668806,44.687723
Venegono Inferiore,VARESE,Lombardia,Seminario Arcivescovile di Milano,2010,911983563,8.908072,45.734281
Varese,VARESE,Lombardia,DICOM - Università degli Studi dell'Insubria,2012,938109622,8.828665,45.816252
Fisciano,SALERNO,Campania,Università degli studi di Salerno,2010,960527598,14.790525,40.772183
Ferrara,FERRARA,Emilia-Romagna,Università degli Studi di Ferrara,2014,965900786,11.626397,44.833378
Ferrara,FERRARA,Emilia-Romagna,Facoltà di Lettere e Filosofia,2014,966006988,11.627686,44.832332
Siena,SIENA,Toscana,Università per Stranieri di Siena,2014,1101407536,11.32151,43.331412
Bergamo,BERGAMO,Lombardia,Università degli Studi di Bergamo,2011,1107498920,9.671738,45.705154
Mira,VENEZIA,Veneto,Ca' Foscari,2011,1120722385,12.168935,45.44976
Forlì,FORLÌ,Emilia-Romagna,Facoltà di Scienze Matematiche Fisiche e Naturali,2011,1137764663,12.063354,44.213996
Forlì,FORLÌ,Emilia-Romagna,Facoltà di Ingegneria,2011,1140063628,12.046868,44.219651
